dt,"[7706] Old Chemistry Building, CHW","[7767] TUNL Bldg., CHW","[7234] East Dorm 1 Blackwell, CHW","[7514] Medical Science Research Bldg II, STEAM","[7701] Duke Chapel, STEAM"
3/21/2017,1062.199951,610.9099731,860.8099976,90192.39844,11750.5
3/22/2017,1018.349976,592.1799927,476.8099976,98209,10777.09961
3/23/2017,911.7299805,566.0100098,179.0899963,124025,14242.7002
3/24/2017,916.960022,597.0200195,445.6400146,109498,12747.2998
3/25/2017,1017.27002,778.460022,757.7399902,81750.60156,7150.120117
3/26/2017,1105.130005,1002.099976,810.7399902,81460.5,9895.490234
3/27/2017,1462.75,1148.76001,969.7299805,83136.89844,9437.349609
3/28/2017,1470.160034,1147.72998,959.9400024,83531.39844,9532.830078
3/29/2017,1225.099976,1107.589966,736.3099976,83287.20313,9518.240234
3/30/2017,1099.040039,943.7399902,507.6700134,84234,9440.959961
3/31/2017,1344.709961,1092.140015,855.7800293,83868.70313,9962.44043
4/1/2017,1107.73999,808.0499878,652.4000244,83542.39844,9668.730469
4/2/2017,1063.969971,650.5999756,454.5100098,87511.70313,9768.099609
4/3/2017,1284.140015,824.0200195,648.5999756,85695.89844,9691.639648
4/4/2017,1377.640015,1086.569946,1052.439941,84269.79688,9418.950195
4/5/2017,1207.699951,1045.72998,833.2800293,88147.70313,9506.040039
4/6/2017,1083.959961,885.1699829,597.5700073,85405.70313,9995.870117
4/7/2017,944.6199951,541.8599854,217.3800049,84520.70313,11188.5
4/8/2017,975.5100098,553.460022,326.5599976,55442.89844,12139.2998
4/9/2017,1289.630005,597.3099976,610.5900269,73729.39844,10858.90039
4/10/2017,1460.609985,641.8800049,756.5700073,76676.60156,9780.769531
4/11/2017,1629.060059,925.6300049,1022.25,81488.20313,9525.19043
4/12/2017,1759.170044,1089.439941,1089.310059,82327.5,9410.400391
4/13/2017,1677.290039,959.9799805,976.289978,83694.10156,9348.889648
4/14/2017,1649.699951,916.0999756,934.7999878,83977.5,9240.349609
4/15/2017,1856.790039,1103.910034,1201.640015,78253.20313,9198.400391
4/16/2017,1847.439941,1111.150024,1126.930054,78518.70313,9195.589844
4/17/2017,1969.550049,1116.780029,1175.380005,77368.20313,9452.959961
4/18/2017,1752.76001,1074.920044,945.8300171,81659.70313,10326.7998
4/19/2017,1414.880005,931.789978,584.2800293,84612.89844,9334.200195
4/20/2017,1831.579956,1205.079956,1104,83987.70313,10397.40039
4/21/2017,2210.360107,1293.329956,1488.050049,84605.39844,11463.5
4/22/2017,2132.350098,1272.780029,1298.189941,78332.70313,11102.2002
4/23/2017,1219.170044,1073.910034,306.25,85251.60156,9452.30957
4/24/2017,1146.839966,1100.630005,285.1400146,88101,9791.509766
4/25/2017,1360.880005,1155.219971,605.1599731,85275.29688,9951.030273
4/26/2017,1699.280029,1234,1064.26001,86064,11083.40039
4/27/2017,1925.640015,1351.719971,1304.209961,84572,11611.40039
4/28/2017,2451.070068,1315.189941,1810.719971,82303.10156,12108.09961
4/29/2017,2721.679932,1345.900024,2123.560059,78748.89844,11815.40039
4/30/2017,2586.800049,1329.73999,1818.27002,78195.60156,11571.7002
5/1/2017,2494.169922,1266.780029,1566.77002,82119.5,11272.5
5/2/2017,1797.189941,980.6599731,968.4299927,83334.89844,9862.240234
5/3/2017,1657.800049,837.3800049,887.3200073,82912.10156,9068.790039
5/4/2017,1769.819946,994.3099976,925.3800049,81722.60156,9273.030273
5/5/2017,1942.410034,1147.390015,1121.040039,76354.89844,10550
5/6/2017,1209.319946,795.6799927,414.2999878,37924.5,9303.509766
5/7/2017,1173.430054,585.4799805,435.6400146,71487.39844,9459.610352
5/8/2017,1238.449951,600.4799805,494.8900146,81491.60156,8784.030273
5/9/2017,1134.060059,695.2399902,310.7900085,90971.89844,8140.22998
5/10/2017,1750.069946,1258.160034,1128.27002,84890.60156,10620.40039
5/11/2017,2097.189941,1325.709961,1396.369995,84831.29688,11794.7998
5/12/2017,1334.459961,1120.98999,380.3599854,84906.10156,9909.80957
5/13/2017,1221.140015,1087.209961,424.5599976,82604.70313,9619.839844
5/14/2017,1488.72998,1143.97998,859.3200073,82461.10156,9389.290039
5/15/2017,1990.410034,1268.119995,1288.689941,82541.70313,9487.5
5/16/2017,1951.050049,1300.290039,1236.23999,85222.70313,9450.299805
5/17/2017,2328.830078,1347.630005,1638.939941,84064.20313,10181
5/18/2017,2453.090088,1367.390015,1671.619995,82072.39844,10784.7002
5/19/2017,2574.879883,1366.75,1785.079956,82237.20313,12354.09961
5/20/2017,2513.73999,1322.01001,1728.829956,79306.70313,12049.40039
5/21/2017,2033.76001,1166.75,1043.660034,79135.10156,10250.7998
5/22/2017,2350.110107,1253.47998,1508.619995,81723.70313,11344
5/23/2017,2186.189941,1243.839966,1354.199951,83291.89844,14129.09961
5/24/2017,1945.670044,1203.449951,1330.800049,84183.10156,14680.59961
5/25/2017,1722.910034,1139.930054,1128.109985,85557.79688,11143.09961
5/26/2017,1702.25,1131.699951,1031.51001,81074,9278.919922
5/27/2017,2072.090088,1243.420044,1598.880005,79247.89844,10064
5/28/2017,2374.610107,1299.819946,1815.98999,79881.10156,11179
5/29/2017,2300.560059,1366.349976,1721.119995,79603.10156,11501.7002
5/30/2017,2417.889893,1362.609985,1796.790039,83459.79688,11478.40039
5/31/2017,2293.070068,1301.099976,1623.819946,83455.79688,11772.2998
6/1/2017,2198.169922,1305.930054,1475.280029,81202.29688,10048.90039
6/2/2017,2101.110107,1325.189941,1314.97998,87026.89844,9505.929688
6/3/2017,2087.060059,1337.790039,1418.890015,77758.5,9162.799805
6/4/2017,2322.72998,1382.560059,1624.180054,79129.10156,10927.5
6/5/2017,2482.669922,1423.430054,1760.26001,79524.10156,13299.59961
6/6/2017,2086.129883,1338.599976,1349.880005,85565.20313,11092.5
6/7/2017,1880.359985,1180.25,1050.300049,82808.5,9272.410156
6/8/2017,1547.689941,1111.380005,733.789978,85359.10156,9252.629883
6/9/2017,1721.829956,1160.47998,1033.780029,87784.29688,9201.830078
6/10/2017,2115.159912,1253.130005,1535.22998,79631.39844,10062.7002
6/11/2017,2356.310059,1352.109985,1632.939941,80525.39844,10346
6/12/2017,2569.48999,1447.640015,1649.209961,79646.60156,10731.90039
6/13/2017,2571.439941,1520.410034,1817.01001,82170.70313,12130.2002
6/14/2017,2654.050049,1552.349976,2046.599976,84614.60156,10844.5
